slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
SR1482_40X_HE_T081_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T082_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T082_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T083_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T083_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T084_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T084_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T085_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T086_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T086_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T087_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T088_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T089_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T090_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T091_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T092_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T093_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T094_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T094_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T095_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T095_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T096_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T097_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T097_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T098_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T098_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T099_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T100_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T100_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T101_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T101_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T102_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T103_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T104_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T104_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T105_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T106_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T107_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T108_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T109_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T110_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T111_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T112_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T113_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T113_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T114_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T115_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T115_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T116_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T117_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T117_02.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T118_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T118_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T119_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T120_01.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T120_02.czi,1,processed,6,135,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
SR1482_40X_HE_T121_01.czi,1,processed,6,130,9,4,False,none,none,10.0,5.0,24,6,200,True,four_pt
